expt	mframes	depth	walltime
50	134346.000	134346.000	134346.000
210	140408.000	140408.000	140408.000
230	28051.000	28157.000	28051.000
25	149510.000	149510.000	149510.000
250	77824.000	77824.000	77824.000
30	140521.000	143449.000	140521.000
300	131256.000	131256.000	131256.000
3000	21985.000	21985.000	21985.000
35	143419.000	143419.000	143419.000
40	143595.000	146470.000	143595.000
400	27916.000	27916.000	27916.000
45	143414.000	143500.000	143414.000
5	143529.000	146467.000	143529.000
200	143420.000	143490.000	143420.000
55	143526.000	143526.000	143526.000
60	143417.000	143417.000	143417.000
600	34125.000	34125.000	34125.000
65	143433.000	143531.000	143433.000
7	137368.000	137368.000	137368.000
70	143559.000	146477.000	143559.000
75	143415.000	143527.000	143415.000
80	143443.000	143494.000	143443.000
800	21961.000	21971.000	21961.000
85	140408.000	140408.000	140408.000
90	143560.000	146475.000	143560.000
95	143386.000	143386.000	143386.000
150	143445.000	143526.000	143445.000
100	143589.000	146472.000	143589.000
105	143498.000	143498.000	143498.000
110	143557.000	146474.000	143557.000
115	77824.000	77824.000	77824.000
120	137304.000	137332.000	137304.000
125	140312.000	140312.000	140312.000
1250	77824.000	77824.000	77824.000
130	140406.000	140406.000	140406.000
135	143524.000	143524.000	143524.000
140	140522.000	140522.000	140522.000
145	137270.000	137339.000	137270.000
15	146468.000	146550.000	146468.000
10	146447.000	146470.000	146447.000
155	140425.000	140471.000	140425.000
160	137369.000	137369.000	137369.000
165	140409.000	140409.000	140409.000
170	31047.000	31047.000	31047.000
175	77824.000	77824.000	77824.000
180	143388.000	143388.000	143388.000
185	143447.000	143447.000	143447.000
190	143560.000	143560.000	143560.000
195	31175.000	31175.000	31175.000
2	149551.000	149622.000	149551.000
20	146615.000	146615.000	146615.000
